date,line_id,product,planned_units,actual_units,defect_count,downtime_minutes,shift,operator_id
2025-01-20,LINE-01,Suspension Strut,207,188,5,6,Afternoon,OP-015
2025-01-20,LINE-02,Drive Shaft,290,253,12,19,Night,OP-006
2025-01-20,LINE-03,Suspension Strut,206,125,20,56,Morning,OP-005
2025-01-20,LINE-04,Transmission Assembly,249,233,8,29,Afternoon,OP-001
2025-01-20,LINE-05,Suspension Strut,227,166,5,30,Night,OP-004
2025-01-21,LINE-01,Cylinder Head,181,181,4,17,Morning,OP-009
2025-01-21,LINE-02,Engine Block V6,272,243,5,7,Afternoon,OP-015
2025-01-21,LINE-03,Suspension Strut,290,180,10,61,Night,OP-002
2025-01-21,LINE-04,Engine Block V6,208,204,7,11,Morning,OP-012
2025-01-21,LINE-05,Suspension Strut,265,241,4,4,Afternoon,OP-013
2025-01-22,LINE-01,Transmission Assembly,238,211,9,173,Night,OP-011
2025-01-22,LINE-02,Cylinder Head,238,236,4,39,Morning,OP-001
2025-01-22,LINE-03,Exhaust Manifold,249,176,10,109,Afternoon,OP-007
2025-01-22,LINE-04,Brake Rotor Set,186,170,8,35,Night,OP-015
2025-01-22,LINE-05,Brake Rotor Set,214,207,1,15,Morning,OP-006
2025-01-23,LINE-01,Transmission Assembly,296,262,2,32,Afternoon,OP-010
2025-01-23,LINE-02,Drive Shaft,220,175,14,11,Night,OP-013
2025-01-23,LINE-03,Drive Shaft,286,175,15,110,Morning,OP-013
2025-01-23,LINE-04,Steering Rack,186,164,7,44,Afternoon,OP-009
2025-01-23,LINE-05,Steering Rack,283,237,11,36,Night,OP-012
2025-01-24,LINE-01,Engine Block V6,199,175,3,1,Morning,OP-014
2025-01-24,LINE-02,Transmission Assembly,276,248,2,1,Afternoon,OP-007
2025-01-24,LINE-03,Engine Block V6,218,149,16,49,Night,OP-002
2025-01-24,LINE-04,Drive Shaft,184,161,5,6,Morning,OP-015
2025-01-24,LINE-05,Exhaust Manifold,268,256,2,20,Afternoon,OP-002
2025-01-25,LINE-01,Steering Rack,224,176,11,44,Night,OP-009
2025-01-25,LINE-02,Cylinder Head,201,198,5,14,Morning,OP-009
2025-01-25,LINE-03,Cylinder Head,294,178,8,48,Afternoon,OP-011
2025-01-25,LINE-04,Suspension Strut,181,159,6,8,Night,OP-010
2025-01-25,LINE-05,Brake Rotor Set,258,220,1,38,Morning,OP-013
